oclc	authorName	authorDates	ENDFullTitle	pubLocationStatement	pubDateTranscribed	format	formatStatement	paratextTitleControlled	epigraphBoolean	narrativeFormPrimary	narrativeFormAdditional	nonProseForms	inscriptionBoolean	marginaliaBoolean	translationClaimControlled	titleOtherWorks	titleNouns	titleAdjectives	titlePlaces	titleNames	titleVerbs	titleObjects	titleAdverbs	catalogedBy
260691	Kirkby, John,	1705-1754.	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.	Dublin	1746.0	Duodecimo		Dedication	0	First-person	Third-person		1	0			capacity, extent, understanding, case, nobelman, infancy, island, year, state, society, narrative, occurrence, reader, edition	human, extraordinary, young, desolate, nineteen, solitary, human, many, surprizing, useful, entertaining		Automathes			abounding	
260692			The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin.	London	1746.0	Duodecimo	In two volumes.	Preface	0	First-person	Epistolary		0	0	Translation		adventure, amour, adventure, amour, manuscript	French		Marquis de Noailles, Mademoiselle Tencin, Marquis de Noailles, Mademoiselle Tencin				
260693			Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.	London	1745.0	Duodecimo		Preface, Preface, Errata	1	First-person	Epistolary		0	0			character, life, variety, incident, reflection, edition, character, life, variety, incident, reflection, edition	real, great, moral, entertaining, second, real, great, moral, entertaining, second		Leonora, Leonora				
260694	Gomez,	1684-1770.	Select novels, translated from the French of Madame de Gomez. Viz. Effects of simpathy. Fair gardener. The vestal. Clodomark. Sequel to the vestal. Tartarian prince. Never before published.	London	1745.0	Duodecimo			0				0	0			novel, effect, simpathy, gardener, vestal, Sequel, vestal, prince	Select, French, Fair, Tartarian		Madame de Gomez, 				
260695			The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]	London	1742.0	Octavo		Conclusion	1	Third-person			0	0			silph, resentment, coquet, novel, revenge, tale, six-pence	Numidian, satyrical, a-la-mode, heroi-comic						
260696	Kirkby, John,	1705-1754.	The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.	London	1745	Duodecimo		Dedication	0	First-person	Third-person		0	0			capacity, extent, understanding, nobelman, infancy, island, year, state, society, narrative, occurrence, reader	human, extraordinary, young, desolate, nineteen, solitary, human, many, surprizing, useful, entertaining		Automathes, 				
260697	Arbuthnot, Archibald.		The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers. From his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig. By the Rev. Archibald Arbuthnot, one of the society for propagating the Christian knowledge, and minister of Kiltarlaty, in the Presbytyry of Inverness.	London	1946			Preface	0	Third-person			0	0			life, adventure, vicissitude, fortune, head, family, birth, highlands, day, search, tree, coast, society, knowledge, minister, Presbytyry	many, great, hollow, Christian	Beaufort, Inverness, Scotland, Knoidart, Arisaig, Kiltarlaty	Simon, Lord Lovat, Frasers, Capt. Millar, Rev. Archibald Arbuthnot				
260698			The lady's drawing room. Being a faithfull picture of the great world. In which the various humours of both sexes are display'd. Drawn from the life: and interspers'd with entertaining and affecting novels.	London	1744.0	Duodecimo		Preface	0				0	0			drawing, room, picture, world, humour, sex, life, novel	lady, faithfull, great, various, both, entertaining, affecting						
260699	Fielding, Sarah,	1710-1768.	Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.	London	1747.0	Octavo	In two volumes	Preface	0	Epistolary			1	0			letter, character, other, vision, author, Vol. I., letter, character, other, vision, author	familiar, principal, some, familiar, principal, some		David Simple, and, David Simple, , David Simple, , David Simple, 				
260700	Richardson, Samuel,	1689-1761.	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	London	1748., 1748.	Duodecimo		Preface, Character information, To the reader, Errata	0	Epistolary			1	0			history, lady, concern, life, distress, misconduct, parent, children, marriage, editor	young, important, private		Clarissa, Pamela				
260701	Richardson, Samuel,	1689-1761.	Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.	London	1748., 1748.	Duodecimo		Preface, Character information, To the reader, Errata	0	Epistolary			1	0			history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor	young, important, private, young, important, private, young, important, private, young, important, private, young, important, private, young, important, private, young, important, private		Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela				
260702	Haywood, Eliza Fowler,	1693?-1756.	Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.	London	1742.0	Duodecimo		Dedication, Letter	1	Third-person	Epistolary		0	0			history, novel, poem, resolve, discovery, novel, masquerader, curiosity, history, amour, self-abandon'd, novel, force, nature, disappointment, novel, edition, resolve, discovery, novel, part	Secret, rash, untimely, fatal, secret, late, lucky, fourth, rash, untimely, two		Mrs. Eliza Haywood, , Lasselia, , Mrs. Eliza Haywood, 				
260703	Haywood, Eliza Fowler,	1693?-1756.	The adventures of Natura	London	1748.0	Duodecimo		Introduction	0	Third-person			1	0			life, progress, passion, adventure, author, fortunate, foundling			Natura				
260704	Haywood, Eliza Fowler,	1693?-1756.	The adventures of Natura	London	1748.0	Duodecimo		Table of contents, Introduction	0	Third-person			1	0			life, progress, passion, adventure, author, fortunate, foundling			Natura				
260705			The unfortunate concubines. The history of fair Rosamond, mistress to Henry II. And Jane Shore, concubine to Edward IV, King of England. Shewing how they came to be so. With their lives, remarkable actions, and unhappy ends. Extracted from eminent records, and the whole illustrated with cuts suitable to each subject. ( Price bound one shilling)	London	1748.0	Duodecimo		Preface	0	Third-person	First-person, Letter(s), Poem(s)		0	0			concubine, history, mistress, concubine, life, action, end, record, whole, cut, subject, Price, shilling)	unfortunate, fair, remarkable, unhappy, eminent, bound, one		Rosamond, , Henry II, , Jane Shore, , Edward IV, King of England, 				
260706	Fielding, Henry,	1707-1754.	The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;	London	1749	Duodecimo	In six volumes.	Dedication, Table of contents	1	Third-person	First-person		0	0			History, Foundling, Volume, Esq			Tom Jones, Henry Fielding, Esq;				
260707	Fielding, Henry,	1707-1754.	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	London	1749	Duodecimo	In six volumes.	Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Dedication, Letter	1	Third-person	First-person, Poem(s)		0	0			history, foundling, history, foundling, history, foundling, history, foundling, history, foundling, history, foundling			Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Henry Fielding, Esq.				NAA 5/18/2011 Swarthmore College
260708	Fielding, Henry,	1707-1754.	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	London	1749.0	Duodecimo	In six volumes.	"Bookplate reads ""Mary Lady Hervey."", Table of contents, Dedication, Letter, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents"	1	Third-person	First-person, Poem(s)		1	1			history, foundling, history, foundling, history, foundling, history, foundling, history, foundling, history, foundling			Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq				
260709	Fielding, Sarah,	1710-1768.	The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.	London	1749.0	Duodecimo		Preface, Dedication, Letter	0	Third-person	First-person		0	0			governess, academy, history, girl, day, amusement, entertainment, instruction, lady, education, author	little, female, nine, nine, young		Mrs. Teachum, , David Simple, 				
260710			Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.	London	1749.0	Duodecimo		Preface, To the reader	1	Third-person	Epistolary		1	1			governess, academy, history, girl, day, amusement, entertainment, instruction, lady, education, author	little, female, nine, nine, young		Mrs. Teachum, David Simple				
260711			The history of the human heart: or, the adventures of a young gentleman.	London	1749.0	Duodecimo		Introduction	0	Third-person	First-person, Epistolary		0	1			history, heart, adventure, gentleman	human, young						
260712	Fielding, Sarah,	1710-1768.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	London	1744.0	Duodecimo		Advertisement, To the reader	0	Third-person			0	0			adventure, account, travel, city, search, friend, lady, volume, adventure, account, travel, city, search, friend, lady, volume	real, two, real, two	London, Westminster, , London, Westminster, 	David Simple, , David Simple				
260713	Fielding, Sarah,	1710-1768.	The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.	London	1744.0	Duodecimo		Advertisement, To the reader	0	Third-person			1	0			adventure, account, travel, city, search, friend, lady, adventure, account, travel, city, search, friend, lady	real, real	London, , Westminster, , London, , Westminster, 	David Simple, , David Simple, 				
260715	Fielding, Henry,	1707-1754.	Miscellanies by Henry Fielding Esq; in three volumes.	London	1743.0	Octavo	In three volumes.	Preface, Table of contents	0	Epistolary	Poem(s), Essay(s), First-person		0	0			copy, will, testament, note, publisher, miscellany, miscellany, miscellany, journey, world, miscellany, life	authentic, last, explanatory, great	Dublin, 	Reverend Dr. Swift Dean of St. Patrick's, , Henry Fielding, Esq., Henry Fielding, Esq., Henry Fielding, Esq., Mr. Jonathan Wild, Henry Fielding, Esq.				
260716	Hamilton, Elizabeth,	1758-1816.		London	1811.0				0				0	0										
260717			The history of Charlotte Summers, the fortunate parish girl. In two volumes. Vol. I.	London	1749.0	Duodecimo			0	First-person			0	0			history, parish, girl, volume	fortunate, two		Charlotte Summers				
260719	PreÃÅvost, abbeÃÅ,	1697-1763.	The history of a fair Greek, who was taken out of a seraglio at Constantinople.	London	1741.0	Duodecimo		Preface	0	First-person			1	0			history, Greek, seraglio, ambassador, adventure, slave, Almoner	fair, late, surprising, several, other, serene, highness	Constantinople, Paris, , Ottoman Port, 	Abbot Provost, , Prince of Conti, 				
260720	Fielding, Henry,	1707-1754.	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esquire. The third edition, illustrated with cuts. In two volumes. Vol. I.	London	1743.0	Duodecimo	In two volumes.	Preface	0	Third-person	Epistolary		0	0			history, adventure, friend, imitation, manner, author, edition, cut, volume, history, adventure, friend, imitation, manner, author, edition, cut, volume	third, illustrated, two, third, illustrated, two		Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, , Henry Fielding, Esquire, , Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, , Henry Fielding, Esquire, 			, 	
260721	Fielding, Henry,	1707-1754.	The history of the adventures of Joseph Andrews, and of his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. In two volumes. Vol. I.	London	1742.0	Duodecimo	In two volumes.	Preface, Errata	0	Third-person	Epistolary		1	0			history, adventure, friend, imitation, manner, author, history, adventure, friend, imitation, manner, author			Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, , Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, 				
260722				London	1740.0				0				0	0			Life, adventures, campaigns, foot soldier, dragoon, proofs, courage, bravery, mouth, pensioner, scenes, action	unparallelled, personal	Chelsea Hospital	Mrs. Christian Davies, Mother Ross, King William, Duke of Marlborough				
260723	Jenner, J.,		Melmoth House: a novel. In three volumes, by Mrs. J. Jenner. Vol. I.	London	1816	Duodecimo	In three volumes.	Introduction	0	Epistolary			0	0			novel			Melmoth House, Mrs. J. Jenner.				
260724	Campbell, John,	1708-1775.	The Polite Correspondence: Or, Rational Amusement; Being a Series of Letters, Philosophical, Poetrical, Historical, Critical, Amorous, Moral, and Satyrical. Wherein are introduc'd a great Variety of instructive and delightful incidents, both in  Profe and Verfe.	London	1745			Dedication, Preface, Table of contents	0	Epistolary	Verse, Third-person		1	0			correspondence, amusement, series, letters, incidents, prose, verse	polite, Rational, philosophical, poetical, historical, critical, amorous, moral, satyrical, variety, instructive, delightful						
260725	Dow, Lorenzo,	1777-1834.		New York	1814.0				0				0	0										
260726	Klopstock, Friedrich Gottlieb,	1724-1803.	The Messiah: Attempted from the German of Mr. Klopstock. By Joseph Collyer. In Fifteen Books. Two Vols. Vol. I.	Boston	1811			Preface, Introduction	0	Third-person	First-person		1	0			German, Books, Two, Volumes			Messiah, Mr. Klopstock, Joseph Collyer	Attempted			
260727	Klopstock, Friedrich Gottlieb,	1724-1803.	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.	London	1811.0	Duodecimo		Essay, Introduction, Argument, Postscript, Explanatory Note	0	First-person			0	0	Translation		messiah, book, introduction, poetry, volume, volume	German, first, sixteen, three, last, divine, two		Klopstock, Mrs. Collver, Mrs. Meeke				
260728	Waln, Robert,	1794-1825.		Philadelphia	1819.0				0				0	0										
260729	Smollett, Tobias George,	1721-1771.	The adventures of Ferdinand Count Fathom. By Dr. Smollett, author of Roderick Random; Peregrine Pickle, &c. &c. In two volumes. Vol. I.	New York	1817			Dedication	1				0	1		Roderick Random, Peregrine Pickle	adventures, author, volumes			Ferdinand Count Fathom, Dr. Smollett				
260730	Helme, Elizabeth ;	1816.0		New York	1814.0				0				0	0										
260731	More, Hannah,	1745-1833.		Philadelphia	1810.0				0				0	0										
260732	Hogg, James,	1770-1835.	The Brownie of Bodsbeck; and other tales.	Edinburgh	1818.0		In two volumes.	Dedication, Table of contents	1	Third-person	First-person	Verse	0	0			brownie, tales		Bodsbeck	James Hogg				
260733	Graves, Richard,	1715-1804.		Providence, R.I.	1816.0				0				0	0										
