htid,recordid,oclc,locnum,author,imprint,date,place,enumcron,subjects,title,prob80precise,genrepages,totalpages,englishpct,datetype,startdate,enddate,imprintdate
mdp.39015066957310,1809396,23621450,,Petronius Arbiter.,"London;Printed for S. Briscoe, and sold by W. Taylor [etc.;1714.",1714,enk,,"Aventures de TÃƒÂ©lÃƒÂ©maque;Classical poetry;1651-1715;Translations into English;FÃƒÂ©nelon, Francois de Salignac de La Mothe-",The works of Petronius Arbiter,0.59,230,433,1,s,1714,    ,1714
nnc1.cu55826229,8430050,34936155,,"Lucas, Theophilus,",London;Printed for J. Brown ... J.Hooke ... & F. Burleigh;1714.,1714,enk,,,"Memoirs of the lives, intrigues, and comical adventures of the most famous gamesters and celebrated sharpers in the reigns of Charles II, James II, William III and Queen Anne",0.66,196,316,1,s,1714,    ,1714
mdp.39015055067113,284031,3041292,,"Burnet, Thomas,",London;Printed for J. Roberts;1715.,1715,enk,,,A second tale of a tub;,0.89,226,242,0.998,s,1715,    ,1715
njp.32101036892782,9471888,177497157,,"Manley,",London;s.n.;1715.,1715,enk,,,The adventures of Rivella;,0.78,120,146,1,s,1715,    ,1715
njp.32101068163342,8968204,43303796,,"Ainsworth, William Harrison,",Leipzig;Tauchnitz;1875.,1715,gw ,vol.2,,"Preston fight; or, The insurrection of 1715",0.57,152,300,0.997,s,1715,    ,1875
njp.32101068163359,8968204,43303796,,"Ainsworth, William Harrison,",Leipzig;Tauchnitz;1875.,1715,gw ,vol.1,,"Preston fight; or, The insurrection of 1715",0.68,204,308,1,s,1715,    ,1875
uc2.ark+=13960=t0dv1dp5v,1357210,13615838,,,London;Printed for J. Tonson;1715.,1715,enk,,,The Lover,0.52,173,396,0.998,s,1715,    ,1715
njp.32101037603576,9471528,13615120,,,London;Printed for J. Roberts ...;1717.,1717,enk,,"18th century;Court and courtiers;Great Britain;Humor;Satire, English","Court tales, or, A history of the amours of the present nobility",0.76,262,332,0.998,s,1717,    ,1717
hvd.32044010067551,9710226,15644183,,"Hearne, Mary.",London;Printed for E. Curll ... and R. Francklin ...;1718.,1718,enk,,,"The lover's week: or, The six days adventures of Philander and Amaryllis",0.69,57,78,0.998,s,1718,    ,1718
dul1.ark+=13960=t9x06zn4z,10944010,2884848,PQ1711.A85A72,"Aulnoy,","London;Printed by W. Wilkins, for J. Peele;1719.",1719,enk,,,The Prince of Carency;,0.9,377,388,1,s,1719,    ,1719
mdp.39015078548396,2239260,2987228,,"Defoe, Daniel,",London;Printed for W. Taylor;1719.,1719,enk,,,"The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",0.89,367,386,1,s,1719,    ,1719
mdp.39015078548404,1368944,2987228,,"Defoe, Daniel,",London;Printed for W. Taylor;1719.,1719,enk,,,"The life and strange surprizing adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of America, near the mouth of the great river of Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself",0.82,353,388,1,s,1719,    ,1719
mdp.39015078548420,3919660,4684168,PZ3.D362R3,"Defoe, Daniel,",London;W. Taylor;1719.,1719,enk,,,"The life and strange surprizing adventures of Robinson Crusoe, of York, mariner",0.81,346,386,1,s,1719,    ,1719
mdp.39015078558361,2239280,68198712,,"Evans, Ambrose.",London;Printed by J. Bettenham for A. Bettesworth and T. Warner [etc.;1719.,1719,enk,,"Utopias;Voyages, Imaginary","The adventures and surprizing deliverances, of James Dubourdieu, and his wife",0.78,126,152,0.999,s,1719,    ,1719
mdp.39015078561373,1418256,6960855,,"Gildon, Charles,",London;Printed for J. Roberts;1719.,1719,enk,,"1661?-1731;Robinson Crusoe;Defoe, Daniel","The life and strange surprizing adventures of Mr. D---- De F--, of London, hosier, who has liv'd above fifty years by himself, in the kingdoms of North and South Britain",0.5,31,72,0.999,s,1719,    ,1719
mdp.39015078561480,1418260,67412386,,"Gildon, Charles,",London;Printed for J. Roberts;1719.,1719,enk,,"1661?-1731;Robinson Crusoe;Defoe, Daniel","The life and strange surprizing adventures of Mr. D---- De F--, of London, hosier, who has liv'd above fifty years by himself, in the kingdoms of North and South Britain",0.5,31,74,1,s,1719,    ,1719
mdp.39015013747905,560480,38674955,BF1815.C2D4 1720,"Defoe, Daniel,","London;Printed for E. Curll, and sold by W. Mears [etc.;1720.",1720,enk,,"1680?-1730;Campbell, Duncan",The history of the life and adventures of Mr. Duncan Campbell,0.89,343,366,1,s,1720,    ,1720
mdp.39015022401338,245324,8535189,,"Manley,",London;Printed for J. Morphew;1720.,1720,enk,v.1-2,,Secret memoirs and manners of several persons of quality of both sexes,0.79,527,634,1,s,1720,    ,1720
mdp.39015024467378,245324,8535189,,"Manley,",London;Printed for J. Morphew;1720.,1720,enk,v.3-4,,Secret memoirs and manners of several persons of quality of both sexes,0.65,413,686,1,s,1720,    ,1720
mdp.39015078548347,2239261,55160913,,"Defoe, Daniel,",London;Printed for W. Taylor;1720.,1720,enk,,,"The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",0.81,651,748,1,s,1720,    ,1720
mdp.39076006199025,9913601,813912,,"Defoe, Daniel,",London;J. Brotherton [etc.;1720.,1720,enk,,,"The life, adventures, and pyracies, of the famous Captain Singleton",0.82,243,264,0.999, ,1720,    ,1720
uc1.$b387445,9262333,214839394,,"Defoe, Daniel,",London;J. Brotherton [etc.;1720.,1720,|||,,,"The life, adventures, and pyracies, of the famous Captain Singleton",0.71,259,366,1,|,1720,||||,1720
uc2.ark+=13960=t9c53jp61,9262333,214839394,,"Defoe, Daniel,",London;J. Brotherton [etc.;1720.,1720,|||,,,"The life, adventures, and pyracies, of the famous Captain Singleton",0.83,344,366,1,|,1720,||||,1720
mdp.39015028161266,1797645,4739628,,"La Motte,",London;Printed for E. Curll [etc.;1721.,1721,enk,,"Fables, French","One hundred new court fables, written for the instruction of princes, and a true knowledge of the world",0.73,316,433,1,s,1721,    ,1721
ucm.532430713x,9295512,,,,London;printed for A. Moore ...;1721.,1721,uk ,,"Mead, Richard;Obras anteriores a 1800;CrÃƒÂ_tica e interpretaciÃƒÂ_n",Caii Spectrum or Dr. Keyes's charge against Dr. M -- [i.e. Dr. Richard Mead],0.53,11,24,1,s,1721,    ,1721
mdp.39015030685567,2727241,68196142,,"Aulnoy,",London;Printed for J. Brotherton W. Meadows ... Tho. Edlin ... amd Tho. Astley ...;1722-1728.,1722,enk,v.2,Fairy tales,A collection of novels and tales of the fairies,0.89,272,286,1,m,1722,1728,1722-1728
mdp.39015030685575,2727241,68196142,,"Aulnoy,",London;Printed for J. Brotherton W. Meadows ... Tho. Edlin ... amd Tho. Astley ...;1722-1728.,1722,enk,v.3,Fairy tales,A collection of novels and tales of the fairies,0.89,237,252,1,m,1722,1728,1722-1728
mdp.39015064392254,1961715,68149663,,,London;E.Parker;1722.,1722,enk,,,The history of Madamoiselle de St.Phale,0.66,146,234,1,s,1722,    ,1722
mdp.39015078548305,1368963,23639572,,"Defoe, Daniel,",London;Printed for W. Taylor;1722.,1722,enk,v.2,,"The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",0.64,177,290,1,s,1722,    ,1722
mdp.39015078548313,1368963,23639572,,"Defoe, Daniel,",London;Printed for W. Taylor;1722.,1722,enk,v.1,,"The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",0.83,298,318,1,s,1722,    ,1722
mdp.39015078548362,1368958,23639503,,"Defoe, Daniel,",London;Printed for W. Taylor;1722.,1722,enk,,,The farther adventures of Robinson Crusoe;,0.76,276,346,1,s,1722,    ,1722
uc1.31822038198719,10824006,8230821,,"Defoe, Daniel,","London;Printed for J. Roberts, in Warwick-Lane;1722",1722,enk,,"1693-1721;Cartouche, Louis Dominique",The life and actions of Lewis Dominique Cartouche,0.75,80,102,0.986,s,1722,    ,1722
mdp.39015078548511,1367400,6460172,,,"London;Printed from the original copy from Dublin, and sold by A. Moore;1723.",1723,enk,,,Memoirs of the life of Scriblerus,0.64,25,40,0.997,r,1723,    ,1723
nnc1.cu53345592,8427074,43862160,,"Segrais, Jean Regnauld de,","London;Printed for D. Browne, Jr.;1725.",1725,enk,,,The power of jealousy exemplified in two novels,0.78,153,186,1,s,1725,    ,1725
mdp.39015062655579,3919627,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.1,,Travels into several remote nations of the world,0.88,325,352,1,s,1726,    ,1726
mdp.39015062655603,3919627,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.2,,Travels into several remote nations of the world,0.89,362,390,1,s,1726,    ,1726
mdp.39015078564351,1423644,2786499,,"Swift, Jonathan,",London;Printed for B. Motte;1726.,1726,enk,v.2,,Travels into several remote nations of the world,0.88,364,392,1,s,1726,    ,1726
mdp.39015078564369,1423644,2786499,,"Swift, Jonathan,",London;Printed for B. Motte;1726.,1726,enk,v.1,,Travels into several remote nations of the world,0.88,326,354,0.999,s,1726,    ,1726
mdp.39015078564385,1423634,2786499,,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street;M,DCC,XXVI [1726",1726,enk,c.2 v.1,"Imaginary societies;Voyages, Imaginary;Early works to 1800;Fiction;Imaginary places",Travels into several remote nations of the world,0.89,389,412,1,s,1726,    ,1726
mdp.39015078564393,1423634,2786499,,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street;M,DCC,XXVI [1726",1726,enk,c.2 v.2,"Imaginary societies;Voyages, Imaginary;Early works to 1800;Fiction;Imaginary places",Travels into several remote nations of the world,0.89,421,444,1,s,1726,    ,1726
mdp.39015078564518,3919641,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.2,,Travels into several remote nations of the world,0.89,364,384,1,s,1726,    ,1726
mdp.39015078564526,3919641,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.1,,Travels into several remote nations of the world,0.89,322,344,0.998,s,1726,    ,1726
mdp.39015078564559,3919634,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.2,,Travels into several remote nations of the world,0.89,359,388,1,s,1726,    ,1726
mdp.39015078565101,3919636,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.2,,Travels into several remote nations of the world,0.89,365,388,1,s,1726,    ,1726
mdp.39015078565259,3919634,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.1,,Travels into several remote nations of the world,0.89,326,348,1,s,1726,    ,1726
mdp.39015078565408,1423634,2786499,,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street;M,DCC,XXVI [1726",1726,enk,c.1 v.1,"Imaginary societies;Voyages, Imaginary;Early works to 1800;Fiction;Imaginary places",Travels into several remote nations of the world,0.89,391,414,1,s,1726,    ,1726
mdp.39015078566950,3919636,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.1,,Travels into several remote nations of the world,0.89,324,346,0.999,s,1726,    ,1726
mdp.39015078567248,3919637,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.1,,Travels into several remote nations of the world,0.88,325,352,1,s,1726,    ,1726
mdp.39015078567255,3919639,2786499,PR3724.G7 1726,"Swift, Jonathan,","London;Printed for Benj. Motte, at the Middle Temple-Gate in Fleet-street.;1726.",1726,enk,v.1-2,,Travels into several remote nations of the world,0.89,685,724,1,s,1726,    ,1726
mdp.39015063923349,449375,5722685,,"Haywood, Eliza Fowler,",London;Printed: and sold by the booksellers of London and Westminister;1727.,1727,enk,,,The secret history of the present intrigues of the court of Caramania,0.89,348,364,1,s,1727,    ,1727
mdp.39015065780671,1801544,15728050,,"Scarron,",London;Printed for J. and J. Knapton; J. and B. Sprint [etc.;1727.,1727,enk,v.1,,The whole comical works of Mons. Scarron,0.84,427,451,1,s,1727,    ,1727
mdp.39015065780689,1801544,15728050,,"Scarron,",London;Printed for J. and J. Knapton; J. and B. Sprint [etc.;1727.,1727,enk,v.2,,The whole comical works of Mons. Scarron,0.83,336,359,1,s,1727,    ,1727
mdp.39015078548610,1368160,10595887,,"Brunt, Samuel,",London;Printed by J. Watson;1727,1727,enk,,"Voyages, Imaginary;Interplanetary voyages, Imaginary",A voyage to Cacklogallinia,0.7,124,178,1,s,1727,    ,1727
mdp.39015078564310,1423659,4090154,,"Swift, Jonathan,",London;Printed for B. Motte;1727.,1727,enk,v.2,,Travels into several remote nations of the world,0.62,221,390,1,s,1727,    ,1727
mdp.39015078564328,1423659,4090154,,"Swift, Jonathan,",London;Printed for B. Motte;1727.,1727,enk,v.1,,Travels into several remote nations of the world,0.75,291,380,1,s,1727,    ,1727
mdp.39015078564419,1019818,10737872,PR3724.G7 1727a (Office),"Swift, Jonathan,",London;Printed for B. Motte;1727.,1727,enk,v.2,,Travels into several remote nations of the world,0.68,252,386,0.999,s,1727,    ,1727
mdp.39015078564427,1019818,10737872,PR3724.G7 1727a (Office),"Swift, Jonathan,",London;Printed for B. Motte;1727.,1727,enk,v.2,,Travels into several remote nations of the world,0.67,241,384,1,s,1727,    ,1727
mdp.39015078564567,1423655,13228474,,"Swift, Jonathan,",London;Printed for B. Motte;1727.,1727,enk,v.1,,Travels into several remote nations of the world,0.7,205,294,1,s,1727,    ,1727
mdp.39015078565127,1019818,10737872,PR3724.G7 1727a (Office),"Swift, Jonathan,",London;Printed for B. Motte;1727.,1727,enk,v.1,,Travels into several remote nations of the world,0.75,277,366,1,s,1727,    ,1727
mdp.39015078565275,1423663,15801278,,"Swift, Jonathan,",London;Printed for J. Stone [etc.;1727.,1727,enk,,,Travels into several remote nations of the world,0.54,164,358,1,s,1727,    ,1727
mdp.39015078568592,1424913,13774261,,,London;1727.,1727,enk,,"Voyages, Imaginary",Travels into several remote nations of the world,0.81,273,310,1,s,1727,    ,1727
mdp.39015078568626,1424900,9884982,,,London;Printed for J. Roberts;1727.,1727,enk,,"Imaginary societies;Voyages, Imaginary;Gulliver, Lemuel (Fictitious character);Fiction;Imaginary places",Memoirs of the court of Lilliput,0.89,165,176,1,s,1727,    ,1727
mdp.39015078568998,1424913,13774261,,,London;1727.,1727,enk,,"Voyages, Imaginary",Travels into several remote nations of the world,0.84,446,474,0.999,s,1727,    ,1727
dul1.ark+=13960=t7jq1nt3c,1420948,23626451,,"McDermot, Murtagh,","Printed at Dublin, and reprinted at London;J. Roberts;1728.",1728,enk,,"Voyages, Imaginary;Interplanetary voyages, Imaginary",A trip to the moon,0.62,65,108,1,s,1728,    ,1728
mdp.39015012332329,1523874,23620391,,"Cervantes Saavedra, Miguel de,",Bristol;Printed by S. Farley;1728.,1728,enk,,,"A collection of select novels, written originally in Castillian",0.84,338,350,1,s,1728,    ,1728
mdp.39015078562157,1420948,23626451,,"McDermot, Murtagh,","Printed at Dublin, and reprinted at London;J. Roberts;1728.",1728,enk,,"Voyages, Imaginary;Interplanetary voyages, Imaginary",A trip to the moon,0.65,66,106,0.999,s,1728,    ,1728
dul1.ark+=13960=t6sx6zp35,1014775,4543353,PZ3.B4866A,"Bignon, Jean Paul,",London;Printed for T. Worrall at the Judge's Head;1729.,1729,enk,,"Voyages, Imaginary;Abdalla;son of Hanif","The adventures of Abdalla, son of Hanif",0.76,181,230,1,s,1729,    ,1729
mdp.39015063581683,785351,23638541,,"Buckingham, John Sheffield,",London;Printed for J.B. [i.e. John Barber] and sold by Aaron Ward [etc.;1729.,1729,enk,v.2,,The works of John Sheffield,0.87,287,332,0.999,s,1729,    ,1729
mdp.39015078545780,1014775,4543353,PZ3.B4866A,"Bignon, Jean Paul,",London;Printed for T. Worrall at the Judge's Head;1729.,1729,enk,,"Voyages, Imaginary;Abdalla;son of Hanif","The adventures of Abdalla, son of Hanif",0.71,169,234,1,s,1729,    ,1729
mdp.39015078561274,1418827,10369507,,"Defoe, Daniel,","London;Printed, and sold by W. Meadows [etc.;1729.",1729,enk,,,Madagascar,0.79,425,504,1,s,1729,    ,1729
mdp.39015010801531,560912,23618621,,,London;Printed for and sold by the booksellers;1730?,1730,enk,,,Royal remarks;,0.86,142,163,1,s,1730,    ,1730
mdp.39015078568659,1424890,23639815,,"Desfontaines,",London;Printed for S. Harding;1731.,1731,enk,v.2,"Voyages, Imaginary","The travels of Mr. John Gulliver, son to Capt. Lemuel Gulliver",0.56,108,216,1,s,1731,    ,1731
mdp.39015036670894,782785,23637972,DA501.V3F3,,London;Printed for W. James;1732.,1732,enk,,"Vane, Anne;1705-1736",The fair concubine,0.81,43,58,0.999,s,1732,    ,1732
mdp.39015065792643,1797646,23633708,,"La Motte,","London;Printed, and sold by J. Wilford;1732.",1732,enk,,"Fables, French",A century of new fables,0.72,293,411,1,s,1732,    ,1732
njp.32101037603568,10688281,15865260,,"Oldmixon,",London;1732.,1732,enk,,,"Court tales: or, A history of the amours of the present nobility",0.79,257,302,0.993,r,1732,1714,1732
njp.32101067498996,8958620,4672365,PR1365.M5,"Swift, Jonathan,",London;Printed for Benjamin Motte;1732-33.,1732,enk,v.2,,Miscellanies,0.54,141,302,1,m,1732,1733,1732-1733
njp.32101068776283,8974538,6391177,PQ2067.T25A25,"Terrasson, Jean,",London;Printed for J. Walthoe;1732.,1732,enk,vol. 1,,The life of Sethos,0.9,471,486,1,s,1732,    ,1732
dul1.ark+=13960=t3bz6x292,708444,6104143,,"Tyssot de Patot, Simon,",London;Printed for John Watts;1733.,1733,enk,,"Utopias;Voyages, Imaginary",The travels and adventures of James Massey,0.89,323,346,1,s,1733,    ,1733
nnc1.cu50002716,8421969,15923158,,"Marini, Giovanni Ambrogio,",London;Printed by W.R. and sold by T. Astley ... J. Isted ... and T. Worrall ...;1733.,1733,enk,,,The desperadoes;,0.81,264,300,1,s,1733,    ,1733
nnc1.cu53334833,8426829,43862289,,"Fontanieu, Gaspard-MoÃ¯se-Augustin de,",London;Printed for C. Davis;1733.,1733,enk,,,"Rosalinda, a novel",0.8,321,374,1,s,1733,    ,1733
mdp.39015078548024,1019510,4708190,G530.C47 1734,"Chetwood, W. R.",London;J. Marshall;1734.,1734,enk,,"Randal, Thomas;1641-1699;Voyages, Imaginary","The voyages, dangerous adventures, and imminent escapes of Capt. Rich. Falconer",0.58,144,276,1,s,1734,    ,1734
dul1.ark+=13960=t74t7bs0b,10944988,15553008,,"Chetwood, W. R.",London;Printed for J. Watts; and sold by J. Osborn ...;1735.,1735,enk,,"Voyages, Imaginary","The voyages and adventures of Captain Robert Boyle, in several parts of the world",0.81,331,372,1,s,1735,    ,1735
mdp.39015036923608,1798020,1516280,,"Le Sage, Alain RenÃ©,",London;Printed for W. Mears;1735.,1735,enk,,,"The comical history of Estevanille Gonzalez, surnamed the Merry Fellow",0.79,239,283,1,s,1735,    ,1735
mdp.39015078559955,1423359,23637851,,"Swift, Jonathan,",Dublin;Printed by and for G. Faulkner;1735.,1735,ie ,v.3,,"The works of J.S., D.D., D.S.P.D",0.52,160,354,1,s,1735,    ,1735
mdp.39015078560144,1423356,23637851,,"Swift, Jonathan,",Dublin;Printed by and for G. Faulkner;1735.,1735,ie ,v.3,,"The works of J.S., D.D., D.S.P.D",0.56,221,450,1,s,1735,    ,1735
njp.32101069177226,8979212,15795127,,"CrÃ©billon, Claude-Prosper Jolyot de,",London;Printed for J. Wilford ...;1735.,1735,enk,,,"Letters from the Marchioness de M***, to the Count de R***",0.83,299,324,0.999,s,1735,    ,1735
mdp.39015065800552,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.8,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.83,438,477,1,s,1736,    ,1736
mdp.39015065800560,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.7,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.85,427,441,1,s,1736,    ,1736
mdp.39015065800578,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.6,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.84,419,441,1,s,1736,    ,1736
mdp.39015065800586,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.5,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.85,424,439,1,s,1736,    ,1736
mdp.39015065800594,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.4,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.85,454,468,1,s,1736,    ,1736
mdp.39015065800602,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.3,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.85,394,407,1,s,1736,    ,1736
mdp.39015065800610,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.2,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.84,396,418,1,s,1736,    ,1736
mdp.39015065800628,1797412,6008990,,"La CalprenÃ¨de, Gaultier de Coste,",London;Printed and sold by J. Watson.;1736.,1736,enk,v.1,"b. 40 B.C;Queen, consort of Juba II, King of Mauretania;Cleopatra;Fiction",Hymen's praeludia,0.83,358,382,1,s,1736,    ,1736
mdp.39015078555185,1368964,11278099,,"Defoe, Daniel,",London;Printed for T. Woodward;1736.,1736,enk,,,The farther adventures of Robinson Crusoe;,0.74,217,278,1,s,1736,    ,1736
ucm.5329037864,9276245,,,,London;printed by J. Watson;sold by A. Dodd ...;1736,1736,uk ,,,"Secret memoirs and manners of several persons of quality, of both sexes from the New Atlantis, Island in the Mediteranean ; written originally in italian ; Vol. I",0.81,214,238,1,s,1736,    ,1736
ucm.5329037873,9276246,,,,London;printed by J. Watson ...;sold by A. Dodd ...;1736,1736,uk ,,,"Secret memoirs and manners of several persons of quality, of both sexes from the New Atlantis, Island in the Mediteranean ; written originally in italian ; Vol. II",0.78,226,274,1,s,1736,    ,1736
dul1.ark+=13960=t2697t24q,1019412,3352390,,"Berington, Simon,","London;Printed for T. Cooper, at the Globe in Pater-Noster row;1737.",1737,enk,,"Utopias;Voyages, Imaginary",The memoirs of Sig Gaudentio di Lucca,0.55,170,358,1,s,1737,    ,1737
