oclc,AuthorName,AuthorDates,Title,PubLocation,PubDate,Format,VolumeStatement,paratextTitleControlled,EpigraphBoolean,NarrativeForm,NarrativeFormAdditional,NonProseForms,InscriptionBoolean,MarginaliaBoolean,TranslationClaim,TitleOtherWorks,TitleNouns,TitleAdjectives,TitlePlaces,TitleNames,TitleVerbs,TitleObjects,TitleAdverbs,Cataloger
260699,"Fielding, Sarah,",1710-1768.,"Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.",London,1747,Octavo,In two volumes,Preface,0,Epistolary,,,1,0,,,"letter, character, other, vision, author, Vol. I., letter, character, other, vision, author","familiar, principal, some, familiar, principal, some",,"David Simple, and, David Simple, , David Simple, , David Simple, ",,,,
260700,"Richardson, Samuel,",1689-1761.,"Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.",London,1748,Duodecimo,,"Preface, Character information, To the reader, Errata",0,Epistolary,,,1,0,,,"history, lady, concern, life, distress, misconduct, parent, children, marriage, editor","young, important, private",,"Clarissa, Pamela",,,,
260701,"Richardson, Samuel,",1689-1761.,"Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.",London,1748,Duodecimo,,"Preface, Character information, To the reader, Errata",0,Epistolary,,,1,0,,,"history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor, history, lady, concerns, life, distresses, misconduct, parents, children, marriage, editor","young, important, private, young, important, private, young, important, private, young, important, private, young, important, private, young, important, private, young, important, private",,"Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela, Clarissa, Pamela",,,,
260702,"Haywood, Eliza Fowler,",1693?-1756.,"Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition.",London,1742,Duodecimo,,"Dedication, Letter",1,Third-person,Epistolary,,0,0,,,"history, novel, poem, resolve, discovery, novel, masquerader, curiosity, history, amour, self-abandon'd, novel, force, nature, disappointment, novel, edition, resolve, discovery, novel, part","Secret, rash, untimely, fatal, secret, late, lucky, fourth, rash, untimely, two",,"Mrs. Eliza Haywood, , Lasselia, , Mrs. Eliza Haywood, ",,,,
260703,"Haywood, Eliza Fowler,",1693?-1756.,The adventures of Natura,London,1748,Duodecimo,,Introduction,0,Third-person,,,1,0,,,"life, progress, passion, adventure, author, fortunate, foundling",,,Natura,,,,
260704,"Haywood, Eliza Fowler,",1693?-1756.,The adventures of Natura,London,1748,Duodecimo,,"Table of contents, Introduction",0,Third-person,,,1,0,,,"life, progress, passion, adventure, author, fortunate, foundling",,,Natura,,,,
260705,,,"The unfortunate concubines. The history of fair Rosamond, mistress to Henry II. And Jane Shore, concubine to Edward IV, King of England. Shewing how they came to be so. With their lives, remarkable actions, and unhappy ends. Extracted from eminent records, and the whole illustrated with cuts suitable to each subject. ( Price bound one shilling)",London,1748,Duodecimo,,Preface,0,Third-person,"First-person, Letter(s), Poem(s)",,0,0,,,"concubine, history, mistress, concubine, life, action, end, record, whole, cut, subject, Price, shilling)","unfortunate, fair, remarkable, unhappy, eminent, bound, one",,"Rosamond, , Henry II, , Jane Shore, , Edward IV, King of England, ",,,,
260706,"Fielding, Henry,",1707-1754.,"The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;",London,1749,Duodecimo,In six volumes.,"Dedication, Table of contents",1,Third-person,First-person,,0,0,,,"History, Foundling, Volume, Esq",,,"Tom Jones, Henry Fielding, Esq;",,,,
260707,"Fielding, Henry,",1707-1754.,"The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.",London,1749,Duodecimo,In six volumes.,"Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Dedication, Letter",1,Third-person,"First-person, Poem(s)",,0,0,,,"history, foundling, history, foundling, history, foundling, history, foundling, history, foundling, history, foundling",,,"Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Henry Fielding, Esq.",,,,NAA 5/18/2011 Swarthmore College
260708,"Fielding, Henry,",1707-1754.,"The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.",London,1749,Duodecimo,In six volumes.,"Bookplate reads ""Mary Lady Hervey."", Table of contents, Dedication, Letter, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents",1,Third-person,"First-person, Poem(s)",,1,1,,,"history, foundling, history, foundling, history, foundling, history, foundling, history, foundling, history, foundling",,,"Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq, Tom Jones, Henry Fielding, Esq",,,,
260709,"Fielding, Sarah,",1710-1768.,"The governess; or, little female academy. Being the history of Mrs. Teachum, and her nine girls. With their nine days amusement. Calculated for the entertainment and instruction of young ladies in their education. By the author of David Simple.",London,1749,Duodecimo,,"Preface, Dedication, Letter",0,Third-person,First-person,,0,0,,,"governess, academy, history, girl, day, amusement, entertainment, instruction, lady, education, author","little, female, nine, nine, young",,"Mrs. Teachum, , David Simple, ",,,,
260710,,,"Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.",London,1749,Duodecimo,,"Preface, To the reader",1,Third-person,Epistolary,,1,1,,,"governess, academy, history, girl, day, amusement, entertainment, instruction, lady, education, author","little, female, nine, nine, young",,"Mrs. Teachum, David Simple",,,,
260711,,,"The history of the human heart: or, the adventures of a young gentleman.",London,1749,Duodecimo,,Introduction,0,Third-person,"First-person, Epistolary",,0,1,,,"history, heart, adventure, gentleman","human, young",,,,,,
260712,"Fielding, Sarah,",1710-1768.,"The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.",London,1744,Duodecimo,,"Advertisement, To the reader",0,Third-person,,,0,0,,,"adventure, account, travel, city, search, friend, lady, volume, adventure, account, travel, city, search, friend, lady, volume","real, two, real, two","London, Westminster, , London, Westminster, ","David Simple, , David Simple",,,,
260713,"Fielding, Sarah,",1710-1768.,"The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I.",London,1744,Duodecimo,,"Advertisement, To the reader",0,Third-person,,,1,0,,,"adventure, account, travel, city, search, friend, lady, adventure, account, travel, city, search, friend, lady","real, real","London, , Westminster, , London, , Westminster, ","David Simple, , David Simple, ",,,,
260715,"Fielding, Henry,",1707-1754.,Miscellanies by Henry Fielding Esq; in three volumes.,London,1743,Octavo,In three volumes.,"Preface, Table of contents",0,Epistolary,"Poem(s), Essay(s), First-person",,0,0,,,"copy, will, testament, note, publisher, miscellany, miscellany, miscellany, journey, world, miscellany, life","authentic, last, explanatory, great","Dublin, ","Reverend Dr. Swift Dean of St. Patrick's, , Henry Fielding, Esq., Henry Fielding, Esq., Henry Fielding, Esq., Mr. Jonathan Wild, Henry Fielding, Esq.",,,,
260717,,,"The history of Charlotte Summers, the fortunate parish girl. In two volumes. Vol. I.",London,1749,Duodecimo,,,0,First-person,,,0,0,,,"history, parish, girl, volume","fortunate, two",,Charlotte Summers,,,,
260719,"PreÃ¢Ë†_Ãƒâ€°Ã¢Ë†_Ãƒâ€“vost, abbeÃ¢Ë†_Ãƒâ€°Ã¢Ë†_Ãƒâ€“,",1697-1763.,"The history of a fair Greek, who was taken out of a seraglio at Constantinople.",London,1741,Duodecimo,,Preface,0,First-person,,,1,0,,,"history, Greek, seraglio, ambassador, adventure, slave, Almoner","fair, late, surprising, several, other, serene, highness","Constantinople, Paris, , Ottoman Port, ","Abbot Provost, , Prince of Conti, ",,,,
260720,"Fielding, Henry,",1707-1754.,"The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esquire. The third edition, illustrated with cuts. In two volumes. Vol. I.",London,1743,Duodecimo,In two volumes.,Preface,0,Third-person,Epistolary,,0,0,,,"history, adventure, friend, imitation, manner, author, edition, cut, volume, history, adventure, friend, imitation, manner, author, edition, cut, volume","third, illustrated, two, third, illustrated, two",,"Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, , Henry Fielding, Esquire, , Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, , Henry Fielding, Esquire, ",,,", ",
260721,"Fielding, Henry,",1707-1754.,"The history of the adventures of Joseph Andrews, and of his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. In two volumes. Vol. I.",London,1742,Duodecimo,In two volumes.,"Preface, Errata",0,Third-person,Epistolary,,1,0,,,"history, adventure, friend, imitation, manner, author, history, adventure, friend, imitation, manner, author",,,"Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, , Joseph Andrews, , Mr. Abraham Adams, , Cervantes, , Don Quixote, ",,,,
260722,,,,London,1740,,,,0,,,,0,0,,,"Life, adventures, campaigns, foot soldier, dragoon, proofs, courage, bravery, mouth, pensioner, scenes, action","unparallelled, personal",Chelsea Hospital,"Mrs. Christian Davies, Mother Ross, King William, Duke of Marlborough",,,,
260724,"Campbell, John,",1708-1775.,"The Polite Correspondence: Or, Rational Amusement; Being a Series of Letters, Philosophical, Poetrical, Historical, Critical, Amorous, Moral, and Satyrical. Wherein are introduc'd a great Variety of instructive and delightful incidents, both in  Profe and Verfe.",London,1745,,,"Dedication, Preface, Table of contents",0,Epistolary,"Verse, Third-person",,1,0,,,"correspondence, amusement, series, letters, incidents, prose, verse","polite, Rational, philosophical, poetical, historical, critical, amorous, moral, satyrical, variety, instructive, delightful",,,,,,
260813,"Fielding, Henry,",1707-1754.,"The history of Tom Jones, a foundling. Vol. IV. By Henry Fielding, Esq.",London,1749,Duodecimo,In four volumes.,"Dedication, Letter",1,Third-person,"First-person, Poem(s)",,1,0,,,"history, foundling, history, foundling, history, foundling, history, foundling",,,"Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq., Tom Jones, Henry Fielding, Esq.",,,,
260829,"Aulnoy,",1650 or 51-1705.,,London,1741,,,,0,,,,0,0,,,,,,,,,,
260864,"Erskine,",18th cent.,"The travels and adventures of Mademoiselle de Richelieu. Cousin to the present Duke of that name. Who made the tour of Europe, dressed in men's cloaths, attended by her maid Lucy as her valet de chambre. Now done into English from the Lady's own manuscript. By the translator of the memoirs and adventures of the Marques of Bretagne and Duke of Harcourt. Vol. I.",London,1744,Duodecimo,,Errata,0,First-person,,,0,0,Translation,,"travels, adventures, Cousin, Duke, name, tour, cloaths, maid, valet de chambre, manuscript, translator, memoirs, adventures, travels, adventures, Cousin, Duke, name, tour, cloaths, maid, valet de chambre, manuscript, translator, memoirs, adventures, travels, adventures, Cousin, Duke, name, tour, cloaths, maid, valet de chambre, manuscript, translator, memoirs, adventures","present, men, English, Lady, own, present, men, English, Lady, own, present, men, English, Lady, own","Europe, Europe, Europe","Mademoiselle de Richelieu, Lucy, Marques of Bretagne, Duke of Harcourt, Mademoiselle de Richelieu, Lucy, Marques of Bretagne, Duke of Harcourt, Mademoiselle de Richelieu, Lucy, Marques of Bretagne, Duke of Harcourt",,,,
260865,"Smollett, Tobias George,",1721-1771.,The adventures of Roderick Random. In two volumes. Vol. I. The second edition.,London,1748,Duodecimo,,Preface,1,First-person,Epistolary,,0,0,,,"adventure, volume, edition, adventure, volume, edition","two, second, two, second",,"Roderick Random, , Roderick Random, ",,,,
260867,"Annesley, James,",1715-1760.,"Memoirs of an unfortunate young nobleman, &c.",London,1743,Duodecimo,,,1,Epistolary,Third-person,,0,1,,,"Memoir, nobleman, year, slavery, contrivance, uncle, story, truth, head, heart","unfortunate, young, thirteen, wicked, cruel","America, ",,,,,
260902,"Collyer, Mary,",d. 1763.,"Felicia to Charlotte: Being letters from a young lady in the country, to her friend in town. Containing a series of the most interesting vents, interspresed with moral reflections; chiefly tending to prove, that the seeds of virtue are implanted in the mind of every reasonable being.",London,1744,Duodecimo,,,0,Epistolary,,,1,0,,,"lady, country, friend, town, series, vent, reflections, seed, virtue, mind, being, letter, author, volume","young, interesting, moral, every, reasonable, second, first",,"Felicia, Charlotte, Felicia, Charlotte",,letter,,
260908,"Griffiths, Ralph,",1720-1803.,"Ascanius: or, the young adventurer; a true history. Translated from a manuscript privately handed about at the court of Versailles. Containing, a particular account of all that happen'd to a certain person during his wanderings in the North, from his first arrival there, in August 1745, to his final escape September 19, in the following year. The whole introduced with a more critical and candid history of the rise, progress, and extinction of the late rebellion, than any yet publish'[d; and interspersed with remarks on the characters of the principal persons who appear'd in the interest of Ascanius; particularly the celebrated Miss Cameron; Miss Mac Donald, the Duke of Perth the Earl of Kilmarnock, Messieurs Sherridan and Sullvan, &c. &c.",London,1746,Duodecimo,,Introduction,0,,,,0,0,Translation,,"adventurer, history, manuscript, court, account, , wandering, arrival, August, escape, September, year, whole, critical, history, rise, progress, extinction, rebellion, remark, character, person, interest","young, true, particular, certain, first, final, following, more, candid, late, principal, celebrated","Versailles, North","Ascanius, Miss Cameron, Miss Mac Donald, Duke of Perth, Earl of Kilmarnock, Messieurs Sherridan and Sullvan",,,,
260913,"McCarthy, Charlotte,",fl. 1745-1768.,"The fair moralist. Or, love and virtue. A novel. By Mrs. Charlotte McCarthy. The second edition, corrected, and improv'd. To which is added, the author's observations, or, a looking-glass for the fair sex. Also several additional poems, never before publish'd. By the same.",London,1746,Duodecimo,,"Advertisement, Preface",0,Third-person,First-person,Poem(s),0,0,,,"moralist, love, virtue, novel, edition, author, observations, looking-glass, sex, poem","fair, second, corrected, improv'd, fair, several, additional, same",,Mrs. Charlotte McCarthy,,looking-glass,,
260921,"Smollett, Tobias George,",1721-1771.,The adventures of Roderick Random. Vol. I.,London,1748,Duodecimo,,Preface,1,First-person,Epistolary,,0,0,,,"adventure, adventure",,,"Roderick Random, Roderick Random",,,,
260923,,,"The true anti-Pamela: or, memoirs of Mr. James Parry, late organist of Ross in Herefordshire. In which are inserted, his amours with the celebrated Miss ----- of Monmouthshire. Written by himself. Interspers'd with many curious and entertaining love-letters which passed between them. The second edition, carefully revised. [ Price three shillings.]",London,1742,Duodecimo,,Dedication,1,First-person,Epistolary,,0,1,,,"memoir, organist, amour, himself, love-letter, edition, price, shilling","true, late, curious, entertaining","Ross, Herefordshire, Monmouthshire","anti-Pamela, Mr. James Parry, Miss -----",,,,
260926,"Chansierges,",,"Grecian tales: or, the entertaining adventures of Neoptolemus, son of Achilles. Translated from the French.",London,1742,Duodecimo,,"Index, Dedication, Preface",0,"First-person, Third-person",,,0,0,Translation,,"tale, adventure, son","Grecian, entertaining, French",,"Neoptolemus, Achilles",,,,
260928,"Cervantes Saavedra, Miguel de,",1547-1616.,"Persiles and Sigismunda: a celebrated novel. Intermix'd with a great variety of delightful histories and entertaining adventures. Written in Spanish by Michael de Cervantes Saavadera, author of Don Quixote. Translated into English from the original. Vol. I",London,1745,Duodecimo,,,0,First-person,,,0,0,Translation,,"novel, variety, history, adventure, author, original, novel, variety, history, adventure, author, original","celebrated, great, delightful, entertaining, Spanish, English, celebrated, great, delightful, entertaining, Spanish, English",,"Persiles, Sigismunda, Michael de Cervantes Saavadera, Don Quixote, Persiles, Sigismunda, Michael de Cervantes Saavadera, Don Quixote",,,,
260957,"Sedgewick, O.",,"Miscellaneous amusements for the year MDCCXLIV, or, the world turn'd inside out. Being reflections on men, manners and opinions. Adapted to the present times. By the author of a late well-receiv'd pamphlet. Vol. I.",London,1744,Duodecimo,,"Preface, To the reader",0,First-person,Poem(s),,0,0,,,"amusement, year, world, reflection, men, manner, opinion, time, author, amusement, year, world, reflection, men, manner, opinion, time, author","miscellaneous, present, late, well-receiv'd, Miscellaneous, present, late, well-receiv'd",,,,"pamphlet, pamphlet",,
260965,"Cervantes Saavedra, Miguel de,",1547-1616.,"Two humorous novels, viz. I. A diverting dialogue between Scipio and Bergansa, two dogs belonging to the Hospital of the Resurrection, in the city of Valladolid, giving an account of their lives and various adventures; interspers'd  with their reflexions and sentiments on the lives, characters, humours and employments of the different masters they liv'd with. II. The comical history of Rinconete and Cortadillo. Both written by the celebrated author of Don Quixote. And now first translated from the Spanish original. The second edition.",London,1742,Duodecimo,,"Dedication, Letter",0,First-person,,,0,0,Translation,,"novel, dialogue, dog, city, account, life, adventure, reflexion, sentiment, life, character, humour, employment, master, history, author, original, edition","humorous, diverting, various, different, comical, celebrated, Spanish","Hospital of the Resurrection, Valladolid","Scipio, Bergansa, Rinconete, Cortadillo, Don Quixote",,,,f 2000/11/07
260966,"Cervantes Saavedra, Miguel de,",1547-1616.,Two novels,London,1742,,,,0,,,,0,0,,,,,,,,,,f 2000/11/07
260971,,,The history of John Bull.,London,1744,Octavo,,Preface,0,Third-person,,,1,0,,,"history, history, particular, narrative, transaction, family, manuscript, biographer, author, part, work, nephew, executor","many, other, curious, faithful, most, secret, important, worshipful, ancient, learned, celebrated, late, first, second, sole",,"John Bull, John Bull, Bull, , Sir Humphry Polesworth, Nathan Polesworth, Sir Humphry",,,,
260974,"Swift, Jonathan,",1667-1745.,Account of a battle between the antient and modern books in St. James's Library,Dublin,1741,,,,0,,,,0,0,,,,,,,,,,
260975,"Swift, Jonathan,",1667-1745.,Account of a battle between the antient and modern books in St. James's Library,London,1743,,,,0,,,,0,0,,,,,,,,,,
260976,"Swift, Jonathan,",1667-1745.,Account of a battle between the antient and modern books in St. James's Library,London,1747,,,,0,,,,0,0,,,,,,,,,,
260977,"Swift, Jonathan,",1667-1745.,Account of a battle between the antient and modern books in St. James's Library,London,1747,,,,0,,,,0,0,,,,,,,,,,
260978,"Swift, Jonathan,",1667-1745.,Account of a battle between the antient and modern books in St. James's Library,London,1747,,,,0,,,,0,0,,,,,,,,,,
260979,"Swift, Jonathan,",1667-1745.,Account of a battle between the antient and modern books in St. James's Library,London,1747,,,,0,,,,0,0,,,,,,,,,,
260987,"Swift, Jonathan,",1667-1745.,"Travels into several remote nations of the world. In four parts. By Lemuel Gulliver, first a surgeon, then a captain of several ships. Vol. I.",London,1748,Duodecimo,In four parts,To the reader,0,First-person,,,0,0,,,"travel, nation, world, surgeon, captain, ship","remote, several",,Lemuel Gulliver,,,,
